name,phone,URL,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
헬로스마일 심리상담센터 잠실점,02-413-5412,http://www.hellosmile.kr/bbs/board.php?bo_table=b2,서울 송파구 오금로11길 7 제이타워빌딩 6층,서울특별시 송파구 오금로11길 7 제이타워빌딩 6층,정,서울특별시 송파구 오금로11길 7 (방이동),127.10796605813547,37.514557394769845
호시담심리상담센터 성북동점,02-745-1052,https://blog.naver.com/hosidamm,서울 성북구 성북로5길 8 2층,서울특별시 성북구 성북로5길 8 2층,정,서울특별시 성북구 성북로5길 8 (성북동1가),127.00448966812979,37.58913494777636
마음을만나다 심리상담센터 수서점,0507-1327-0675,https://meetmyheart.modoo.at/,서울 강남구 밤고개로1길 10 505호,서울특별시 강남구 밤고개로1길 10 505호,정,서울특별시 강남구 밤고개로1길 10 (수서동),127.10178451759938,37.488049129926644
마음터심리상담센터,0507-1479-5023,https://mindplace.co.kr/,서울 서초구 동작대로 58 남장빌딩 3층 302호,서울특별시 서초구 동작대로 58 남장빌딩 3층 302호,정,서울특별시 서초구 동작대로 58 (방배동),126.98228477572674,37.48165344196994
마음사랑상담센터,02-511-4410,http://www.maumsarang.or.kr/,서울 강남구 논현로168길 22 계진빌딩,서울특별시 강남구 논현로168길 22 계진빌딩,정,서울특별시 강남구 논현로168길 22 (신사동),127.03000904966187,37.523636756846464
해피미 아동청소년발달센터 성인심리상담센터,02-3446-7877,http://happyme.co.kr,서울 강남구 봉은사로 119 2층,서울특별시 강남구 봉은사로 119 2층,정,서울특별시 강남구 봉은사로 119 (논현동),127.0266830602614,37.50540761241885
라함 마르페 심리상담센터,010-9410-8999,http://www.gcppi.ac.kr/,서울 강서구 공항대로 186 로뎀타워 605호,서울특별시 강서구 공항대로 186 로뎀타워 605호,정,서울특별시 강서구 공항대로 186 (마곡동),126.82799566240456,37.55909967399187
나무와샘 심리상담센터,02-6403-2714,https://blog.naver.com/psycure7,서울 관악구 관악로12길 5 3층,서울특별시 관악구 관악로12길 5 3층,정,서울특별시 관악구 관악로12길 5 (봉천동),126.95276515767786,37.47825880299701
나사랑심리상담센터,0507-1491-2131,http://cafe.daum.net/nalove777,서울 성북구 삼선교로 39,서울특별시 성북구 삼선교로 39,정,서울특별시 성북구 삼선교로 39 (삼선동2가),127.01017304098471,37.58845927615992
한국 아동 청소년 심리상담센터,0507-1331-5080,http://www.kccp.kr/,서울 강남구 선릉로76길 7 4층,서울특별시 강남구 선릉로76길 7 4층,정,서울특별시 강남구 선릉로76길 7 (대치동),127.051136120283,37.5015269713963
케어마인 심리상담센터 강동점,02-472-3033,http://www.caremine.co.kr/,서울 강동구 올림픽로 659 210호,서울특별시 강동구 올림픽로 659 210호,정,서울특별시 강동구 올림픽로 659 (천호동),127.12355242750459,37.54033385992446
굿이너프 심리상담센터,02-525-1267,https://goodenoughmhc.modoo.at,서울 서초구 서초중앙로 125 로이어즈타워 705호,서울특별시 서초구 서초중앙로 125 로이어즈타워 705호,정,서울특별시 서초구 서초중앙로 125 (서초동),127.01340701311834,37.49302221805738
차주현심리상담센터 강남,0507-1409-8259,https://booking.naver.com/booking/6/bizes/586310?area=bmp,서울 강남구 강남대로78길 22 호야빌딩 3층,서울특별시 강남구 강남대로78길 22 호야빌딩 3층,정,서울특별시 강남구 강남대로78길 22 (역삼동),127.03116184822927,37.49516101395992
마이스토리 심리상담센터 동대문센터,02-6959-1352,http://www.mystoryis.kr,서울 동대문구 한천로46길 42 마루하우스 2층,서울특별시 동대문구 한천로46길 42 마루하우스 2층,정,서울특별시 동대문구 한천로46길 42 (장안동),127.07070625545533,37.58146418881925
위드제이 심리상담센터,02-6949-5090,https://withjcenter.modoo.at,서울 서대문구 수색로 56 509호,서울특별시 서대문구 수색로 56 509호,정,서울특별시 서대문구 수색로 56 (북가좌동),126.91224688013916,37.57091100533304
피어나다 언어심리상담센터,02-6949-6212,https://pieonada.creatorlink.net/,서울 서대문구 이화여대1안길 3 3층 피어나다 언어심리상담 센터,서울특별시 서대문구 이화여대1안길 3 3층 피어나다 언어심리상담 센터,정,서울특별시 서대문구 이화여대1안길 3 (대현동),126.94450500459824,37.557439761575004
안녕마음 심리상담센터 중화점,02-2038-6773,https://blog.naver.com/shalommaum,서울 중랑구 동일로 770 태능제일의원 3층,서울특별시 중랑구 동일로 770 태능제일의원 3층,정,서울특별시 중랑구 동일로 770 (중화동),127.080241532031,37.599224040522046
나우심리상담센터,02-976-9005,,서울 노원구 동일로192길 14,서울특별시 노원구 동일로192길 14,정,서울특별시 노원구 동일로192길 14 (공릉동),127.07395357521953,37.62576968255462
인앤인심리상담센터,0507-1379-1176,https://innincounseling.modoo.at,서울 송파구 법원로6길 7 유탑테크밸리 206호,서울특별시 송파구 법원로6길 7 유탑테크밸리 206호,정,서울특별시 송파구 법원로6길 7 (문정동),127.12177916108737,37.4835285597163
엠브레스마인드 심리상담센터 성북고대직영점,0507-1377-6255,http://www.em-mind.com/,서울 성북구 종암로 18 거산프라자 본관 5층,서울특별시 성북구 종암로 18 거산프라자 본관 5층,정,서울특별시 성북구 종암로 18 (종암동),127.03689948034209,37.591899146455475
열린마음심리상담센터,02-585-3007,http://openmind12.com/,서울 서초구 서초대로78길 42 현대기림오피스1209호,서울특별시 서초구 서초대로78길 42 현대기림오피스1209호,정,서울특별시 서초구 서초대로78길 42 (서초동),127.02822435570984,37.49402597184934
심리상담센터오늘은,010-9537-3354,https://mindtodayis.modoo.at/,서울 금천구 벚꽃로 254 2층 203호,서울특별시 금천구 벚꽃로 254 2층 203호,정,서울특별시 금천구 벚꽃로 254 (가산동),126.88545323615489,37.47777210074487
강남심리상담센터,0507-1321-1138,https://gcounseling.co.kr/,서울 강남구 학동로 208 3층,서울특별시 강남구 학동로 208 3층,정,서울특별시 강남구 학동로 208 (논현동),127.03198688043328,37.51404515121601
서윤영 심리상담센터 강남점,010-8074-3632,https://www.instagram.com/cutngrow,서울 강남구 테헤란로 313 성지하이츠1 14층 13호,서울특별시 강남구 테헤란로 313 성지하이츠1 14층 13호,정,서울특별시 강남구 테헤란로 313 (역삼동),127.04526288784858,37.50379785695127
하늘심리상담센터,0507-1400-5661,https://blog.naver.com/skycounseling,서울 광진구 능동로 149 하늘심리상담센터,서울특별시 광진구 능동로 149 하늘심리상담센터,정,서울특별시 광진구 능동로 149 (화양동),127.0723152004744,37.54411560676366
마음사서함 심리상담센터,0507-1355-1784,https://blog.naver.com/postbox_hwp,서울 강서구 공항대로 220 우성에스비타워 2차 1216호,서울특별시 강서구 공항대로 220 우성에스비타워 2차 1216호,정,서울특별시 강서구 공항대로 220 (마곡동),126.83173569851635,37.55870268037245
희망나무심리상담센터,02-325-7275,http://www.xn--910bu8bo9itfp7dw7o70dp77c.com/,서울 마포구 연남로3길 39 2층,서울특별시 마포구 연남로3길 39 2층,정,서울특별시 마포구 연남로3길 39 (연남동),126.9206953080172,37.56046675114887
은빛심리상담센터,0507-1358-0626,http://www.eunbit.co.kr/,서울 강동구 올림픽로 664 316호,서울특별시 강동구 올림픽로 664 316호,정,서울특별시 강동구 올림픽로 664 (천호동),127.12497523025654,37.540559508713756
강남심리상담센터해맑음,0507-1354-2035,https://blog.naver.com/gnhme,서울 강남구 논현로95길 14 예양빌딩 2층 202호,서울특별시 강남구 논현로95길 14 예양빌딩 2층 202호,정,서울특별시 강남구 논현로95길 14 (역삼동),127.03464672054464,37.502379282063636
마음다음 트라우마 심리상담센터,0507-1376-1513,https://www.instagram.com/maum_daum,"서울 종로구 삼봉로 81 (수송동, 두산위브파빌리온 )","서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온 )",정,서울특별시 종로구 삼봉로 81 (수송동),126.98150612761332,37.57256190718401
호시담심리상담센터 선릉점,02-745-1052,http://hosidampsy.com,서울 강남구 테헤란로 322 서관 2층 212호,서울특별시 강남구 테헤란로 322 서관 2층 212호,정,서울특별시 강남구 테헤란로 322 (역삼동),127.04658239907364,37.50323557691957
헬로스마일 심리상담센터 노원점,02-936-5412,http://www.hellosmile.kr/bbs/board.php?bo_table=b5,서울 노원구 노해로75길 14-26 효림빌딩 7층,서울특별시 노원구 노해로75길 14-26 효림빌딩 7층,정,서울특별시 노원구 노해로75길 14-26 (상계동),127.05888778019414,37.654581727859
두리봄심리상담센터,0507-1355-4338,https://blog.naver.com/doori_bom,서울 구로구 경인로20가길 5 9층 901-7호,서울특별시 구로구 경인로20가길 5 9층 901-7호,정,서울특별시 구로구 경인로20가길 5 (오류동),126.84408141061024,37.49541575836453
심리상담센터 결,0507-1396-5507,https://flowmind.modoo.at,서울 마포구 월드컵북로 402 KGIT센터 9층 909호,서울특별시 마포구 월드컵북로 402 KGIT센터 9층 909호,정,서울특별시 마포구 월드컵북로 402 (상암동),126.88893329956336,37.58018963270006
기쁜우리심리상담센터,0507-1383-8576,https://m.booking.naver.com/booking/6/bizes/352552?area=bmp,서울 성동구 고산자로 253 다남매타워 905호,서울특별시 성동구 고산자로 253 다남매타워 905호,정,서울특별시 성동구 고산자로 253 (도선동),127.0355839538101,37.56240419155655
신은혜 심리상담센터,0507-1336-3512,https://blog.naver.com/counsel_s,"서울 강동구 천호대로167길 26 하이브2, 802호","서울특별시 강동구 천호대로167길 26 하이브2, 802호",정,서울특별시 강동구 천호대로167길 26 (천호동),127.1332688605535,37.53721122964659
더엘심리상담센터,0507-1342-6174,http://the-el.kr,서울 강남구 언주로 122 5층 508호,서울특별시 강남구 언주로 122 5층 508호,정,서울특별시 강남구 언주로 122 (도곡동),127.05100350841106,37.48708441381596
해와나무아동청소년심리상담센터,0507-1317-1275,http://www.isuntree.co.kr/,서울 은평구 통일로87길 19 3층,서울특별시 은평구 통일로87길 19 3층,정,서울특별시 은평구 통일로87길 19 (갈현동),126.91751473141497,37.623254618932435
온맘심리상담센터,0507-1358-2803,http://onmom.kr/,서울 관악구 관천로 44 지하 101호,서울특별시 관악구 관천로 44 지하 101호,정,서울특별시 관악구 관천로 44 (신림동),126.92726494369977,37.48356587956609
앤드심리상담센터,02-546-1190,https://blog.naver.com/andandcenter,서울 중구 다산로 56 남산정은스카이빌 오피스텔 210,서울특별시 중구 다산로 56 남산정은스카이빌 오피스텔 210,정,서울특별시 중구 다산로 56 (신당동),127.00775212435005,37.54905346389453
나로심리상담센터,010-7174-4088,https://blog.naver.com/narolab2020,서울 노원구 화랑로 425-3 진주오피스텔 702호,서울특별시 노원구 화랑로 425-3 진주오피스텔 702호,정,서울특별시 노원구 화랑로 425-3 (공릉동),127.07456755968761,37.61771225726335
마음편한 심리상담센터 상봉점,0507-1326-7190,https://blog.naver.com/counselorshim,서울 중랑구 면목로96길 28 이상부티끄타워 2층 204호,서울특별시 중랑구 면목로96길 28 이상부티끄타워 2층 204호,정,서울특별시 중랑구 면목로96길 28 (상봉동),127.08724652531367,37.59601286352406
꿈꾸는나무심리상담센터,0507-1347-2030,https://blog.naver.com/lovetree34,서울 양천구 목동중앙남로9길 32 201호,서울특별시 양천구 목동중앙남로9길 32 201호,정,서울특별시 양천구 목동중앙남로9길 32 (목동),126.86467810260378,37.538062536808454
지와감심리상담센터,02-2252-9004,http://www.seoulpsy.co.kr/,서울 종로구 종로 19 B동 2031호,서울특별시 종로구 종로 19 B동 2031호,정,서울특별시 종로구 종로 19 (종로1가),126.97992355393073,37.570846355322224
